feature	log2fc	pvalue	adj_pvalue	baseMean
GENE000	-0.4659	3.634e-05	7.9e-07	1099.845318
GENE001	-1.7834	1.4e-07	0.00740428	190.354738
GENE002	3.9562	4.15e-06	2.3e-07	3137.611142
GENE003	-1.5404	4e-08	0.19751078	1515.16115
GENE004	0.8613	3e-08	0.00297958	6905.312109
GENE005	-1.2515	0.0	1e-08	4104.363716
GENE006	-1.6727	7e-08	1.097e-05	7749.948046
GENE007	-1.8987	6.4e-07	8.93e-06	9205.288978
GENE008	1.1999	0.00012366	0.0	8728.304271
GENE009	1.2025	3e-08	0.0	7358.636875
GENE010	-2.3115	0.03685906	2e-07	623.750579
GENE011	-0.4935	0.0	4.9e-06	1381.686775
GENE012	2.3322	1.7e-07	3.34e-06	2074.209708
GENE013	4.1575	5.237e-05	0.00010046	3251.170295
GENE014	1.6607	1.2e-07	1.269e-05	6622.60577
GENE015	2.4172	0.00358841	1.8e-07	5255.246037
GENE016	-0.5002	8.57e-06	0.00011732	3138.212235
GENE017	-2.6802	1.247e-05	0.0	1732.651056
GENE018	1.4145	8.66e-06	0.64135104	9121.329485
GENE019	-2.1525	1.1e-07	0.00208575	3423.92785
GENE020	0.2185	0.0	9e-08	3543.515599
GENE021	-0.4272	0.22793172	2.1e-07	7720.125852
GENE022	2.7485	1.009e-05	0.0158513	7209.524689
GENE023	0.8072	0.37170435	1.863e-05	6433.447691
GENE024	-2.5713	1e-08	0.00103878	6933.439787
GENE025	-1.3464	3.1e-07	9e-08	6101.155724
GENE026	0.2208	0.0	0.01191005	1923.449427
GENE027	-2.0645	7.93e-06	4.4e-07	2465.944836
GENE028	-1.5082	0.05434515	0.00046847	5581.308421
GENE029	-1.7998	0.00030004	0.50233161	2249.445513
GENE030	-1.1537	4.56e-06	6.007e-05	9729.133365
GENE031	-1.1855	2.057e-05	0.00772454	2976.848038
GENE032	2.2125	0.02437847	0.00151604	2890.75237
GENE033	-0.618	1.85e-06	0.00064809	2073.570671
GENE034	1.0241	0.05448936	0.0	7050.177609
GENE035	-2.8622	0.00159342	4.99e-06	3171.090409
GENE036	-0.2286	0.00364907	0.37497291	3488.682939
GENE037	0.7443	4.2e-07	0.00563313	9337.070047
GENE038	2.0017	9.2e-07	0.00483063	7954.258155
GENE039	0.7913	4.424e-05	5.231e-05	2735.30191
GENE040	-1.3445	1e-08	0.00138631	1219.619183
GENE041	0.1335	2.999e-05	5.982e-05	6766.545836
GENE042	-1.3571	0.0	0.0	3797.56216
GENE043	-1.0755	9.82e-06	0.00016879	9801.625213
GENE044	-0.6429	0.00369488	0.00013658	8183.956224
GENE045	-3.1917	6e-08	0.02125957	9546.134025
GENE046	3.4903	0.61943813	0.0	8046.353724
GENE047	-4.1773	0.00054444	0.00054852	2905.236067
GENE048	1.3105	0.0	0.0	2877.015786
GENE049	1.4091	0.45011126	0.24391089	7141.698734
