group	diversity
cohort_A	2.729265
cohort_A	3.903177
cohort_A	1.604203
cohort_A	3.587277
cohort_A	2.443512
cohort_A	3.85304
cohort_A	2.078746
cohort_A	2.133152
cohort_A	2.41214
cohort_A	2.268092
cohort_A	2.828183
cohort_A	2.300291
cohort_A	1.467635
cohort_A	3.861273
cohort_A	2.446002
cohort_B	3.285788
cohort_B	2.282192
cohort_B	1.249699
cohort_B	3.719371
cohort_B	1.900695
cohort_B	2.611593
cohort_B	2.658556
cohort_B	1.527098
cohort_B	2.141351
cohort_B	1.917542
cohort_B	1.849677
cohort_B	2.686426
cohort_B	2.442533
cohort_B	1.999702
cohort_B	3.14459
