gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000152583	997.444732611474	4.55984812888768	0.185882962961847	24.8313701970213	4.11066699528116e-136	7.05595989740011e-132
ENSG00000165995	495.095686525811	3.28011870062061	0.133205641093302	24.735295830011	4.46338432298434e-135	3.83069959520131e-131
ENSG00000120129	3409.03835490143	2.93659108578566	0.122502377795108	24.1872003753262	3.03383945670324e-129	1.7358618091437e-125
ENSG00000101347	12703.4128252398	3.75434217873731	0.157610116735613	24.1488209711944	7.68265697149629e-129	3.29682017289334e-125
ENSG00000189221	2341.78067569054	3.34129982856857	0.143233990213525	23.5872245683657	5.2127056114383e-123	1.78952183640677e-119
ENSG00000211445	12285.7000547124	3.71611105869183	0.16848271160352	22.4187211669746	2.58505906224187e-111	7.39542313389694e-108
ENSG00000157214	3009.27287526155	1.96925553336688	0.0906310648613934	21.8611329583861	6.09134840276323e-106	1.49368564762044e-102
ENSG00000162614	5393.11454093552	2.02783015169203	0.0949583391938234	21.4997448399184	1.56546228398332e-102	3.3588950130717e-99
ENSG00000125148	3656.26740037453	2.19875185837648	0.106506271902944	20.840738249663	1.84964416892057e-96	3.52768246216907e-93
ENSG00000154734	30315.1131700161	2.33454200323126	0.117002330499833	20.1584942604855	2.26675650451372e-90	3.89088753999781e-87
ENSG00000139132	1223.46315207371	2.21692261012334	0.113488041298911	19.7111508937742	1.72987629958358e-86	2.69939333475929e-83
ENSG00000162493	1099.63807723644	1.87508625830172	0.0961079014623853	19.701705962577	2.08475763869843e-86	2.98207207235489e-83
ENSG00000134243	5510.95647651194	2.18255953093716	0.11305325311855	19.5196067811946	7.48117677897268e-85	9.87803072392816e-82
ENSG00000179094	776.600164098613	3.17661428279986	0.165503849830124	19.4563428425155	2.57518271233611e-84	3.15735794694639e-81
ENSG00000162692	508.164810682556	-3.67283076179415	0.191900512162746	-19.4279807333431	4.47628015465678e-84	5.12235659031224e-81
ENSG00000163884	561.111048261822	4.43257650119607	0.237444574664153	18.9918827468749	1.99061929589266e-80	2.13556126337485e-77
ENSG00000178695	2649.82251474546	-2.51328753405726	0.13586530706575	-18.7497949462881	1.94338882070374e-78	1.96225112396351e-75
ENSG00000198624	2057.20440873193	2.90118982481981	0.163537769423703	18.0513716983721	7.69555571019142e-73	7.3385674314131e-70
ENSG00000148848	1365.16397466345	-1.80357201864546	0.101098821089336	-18.0096412380502	1.63685977778959e-72	1.47877358346096e-69
ENSG00000107562	25136.0890181904	-1.90081145333386	0.106784976168725	-17.9850851558996	2.54996719661079e-72	2.18850934649121e-69
ENSG00000146250	313.686159348886	-2.73911898313204	0.154931134315144	-17.8388941250509	3.52605331393625e-71	2.88212881589123e-68
ENSG00000106976	884.737400832367	-1.746129623938	0.100110393359574	-17.5888973084033	2.99651894658929e-69	2.33796580537296e-66
