cell	chain	cdr3_length	v_segment	clonotype_id
cell_0000	TRA	8	TRAV29	clone_16
cell_0001	TRA	8	TRAV14	clone_12
cell_0002	IGL	13	TRAV1	clone_17
cell_0003	IGH	20	TRAV6	clone_10
cell_0004	IGH	10	TRAV24	clone_0
cell_0005	TRB	18	TRAV30	clone_3
cell_0006	IGH	12	TRAV11	clone_8
cell_0007	TRB	10	TRAV26	clone_5
cell_0008	IGH	19	TRAV30	clone_18
cell_0009	IGL	15	TRAV14	clone_8
cell_0010	TRB	16	TRAV26	clone_1
cell_0011	IGH	19	TRAV22	clone_3
cell_0012	IGL	14	TRAV28	clone_19
cell_0013	IGH	16	TRAV24	clone_13
cell_0014	TRA	8	TRAV26	clone_11
cell_0015	TRA	9	TRAV8	clone_10
cell_0016	IGL	9	TRAV9	clone_13
cell_0017	TRA	19	TRAV6	clone_19
cell_0018	TRA	10	TRAV26	clone_16
cell_0019	TRB	16	TRAV23	clone_3
cell_0020	IGH	8	TRAV4	clone_12
cell_0021	TRB	13	TRAV13	clone_18
cell_0022	IGH	17	TRAV28	clone_6
cell_0023	TRA	16	TRAV2	clone_8
cell_0024	TRB	10	TRAV28	clone_1
cell_0025	IGH	14	TRAV16	clone_13
cell_0026	IGH	10	TRAV8	clone_0
cell_0027	TRB	8	TRAV7	clone_16
cell_0028	IGL	12	TRAV27	clone_17
cell_0029	IGH	13	TRAV30	clone_6
cell_0030	TRA	20	TRAV15	clone_11
cell_0031	IGH	8	TRAV12	clone_13
cell_0032	TRA	13	TRAV10	clone_2
cell_0033	TRB	11	TRAV27	clone_10
cell_0034	IGH	18	TRAV26	clone_19
cell_0035	TRA	11	TRAV28	clone_10
cell_0036	TRA	18	TRAV8	clone_3
cell_0037	TRB	9	TRAV8	clone_9
cell_0038	IGH	13	TRAV1	clone_16
cell_0039	IGH	20	TRAV22	clone_9
cell_0040	TRB	16	TRAV7	clone_13
cell_0041	IGH	14	TRAV13	clone_10
cell_0042	TRB	17	TRAV11	clone_12
cell_0043	IGH	19	TRAV9	clone_9
cell_0044	IGL	10	TRAV28	clone_17
cell_0045	IGH	11	TRAV3	clone_4
cell_0046	TRA	10	TRAV25	clone_6
cell_0047	TRA	20	TRAV9	clone_13
cell_0048	IGL	20	TRAV12	clone_12
cell_0049	IGH	10	TRAV21	clone_5
