clonotype_id	frequency	is_public	n_members
clone_0	0.061936	true	49
clone_1	0.030794	false	16
clone_2	0.055246	false	44
clone_3	0.00104	true	20
clone_4	0.029404	false	15
clone_5	0.043559	false	13
clone_6	0.058418	true	10
clone_7	0.065816	false	2
clone_8	0.047034	false	3
clone_9	0.044774	true	16
clone_10	0.022156	false	31
clone_11	0.047845	false	40
clone_12	0.090217	true	50
clone_13	0.079806	false	5
clone_14	0.017799	false	30
clone_15	0.009395	true	27
clone_16	0.05203	false	41
clone_17	0.063661	false	37
clone_18	0.034184	true	13
clone_19	0.082024	false	46
