cell	rna_umi	atac_fragments	paired
cell_0000	391	6231	1
cell_0001	1212	712	0
cell_0002	4044	3411	0
cell_0003	1372	1617	1
cell_0004	3873	7370	0
cell_0005	4498	8390	0
cell_0006	2845	508	0
cell_0007	3888	8007	0
cell_0008	3491	8292	1
cell_0009	558	2624	1
cell_0010	4368	3216	1
cell_0011	2552	5672	0
cell_0012	4728	8021	1
cell_0013	2684	8679	0
cell_0014	4648	5184	0
cell_0015	4489	5463	0
cell_0016	253	2447	1
cell_0017	1806	1709	1
cell_0018	4830	8556	1
cell_0019	2817	2274	0
cell_0020	2996	3461	0
cell_0021	642	698	0
cell_0022	1323	7626	1
cell_0023	2397	6450	0
cell_0024	355	8658	0
cell_0025	2878	1997	1
cell_0026	3173	167	0
cell_0027	4476	5195	0
cell_0028	1459	821	1
cell_0029	4777	9836	1
cell_0030	3291	1526	0
cell_0031	1635	5560	1
cell_0032	4975	7749	1
cell_0033	1057	855	1
cell_0034	2625	1789	1
cell_0035	2676	8629	0
cell_0036	359	5219	0
cell_0037	2324	468	1
cell_0038	3490	9562	0
cell_0039	811	5214	0
cell_0040	4171	3538	1
cell_0041	2046	5357	0
cell_0042	3144	3385	1
cell_0043	3802	3254	1
cell_0044	2579	4795	1
cell_0045	1870	4632	1
cell_0046	4401	8820	0
cell_0047	2576	5328	0
cell_0048	1533	7327	0
cell_0049	1019	2027	1
