spot	domain	x	y
spot_0000	2	71.621975	394.373698
spot_0001	5	101.881448	275.835848
spot_0002	4	314.784101	441.010571
spot_0003	3	134.699844	201.325631
spot_0004	1	316.559921	296.155062
spot_0005	4	322.785613	129.530516
spot_0006	3	357.222484	343.329174
spot_0007	5	281.821078	356.611331
spot_0008	2	323.885556	328.781467
spot_0009	4	255.713722	71.335071
spot_0010	2	82.021536	283.780388
spot_0011	4	410.783902	133.684952
spot_0012	4	158.18017	459.220822
spot_0013	4	393.892033	319.596745
spot_0014	1	189.470951	185.075349
spot_0015	5	482.008851	388.764081
spot_0016	0	123.748843	339.107613
spot_0017	5	135.062617	209.121874
spot_0018	0	265.735083	228.893296
spot_0019	1	341.989624	219.480004
spot_0020	0	203.390632	177.000708
spot_0021	1	164.678755	234.33291
spot_0022	1	44.487079	143.409831
spot_0023	2	454.622695	476.308161
spot_0024	1	389.035476	260.297332
spot_0025	1	73.164816	359.233405
spot_0026	4	399.048683	461.905978
spot_0027	4	136.823393	114.382052
spot_0028	1	48.973428	317.817624
spot_0029	4	489.742607	43.471142
spot_0030	2	111.112786	152.830751
spot_0031	2	475.89143	385.289201
spot_0032	1	391.366809	422.622804
spot_0033	5	61.751746	317.33834
spot_0034	4	263.237837	38.346606
spot_0035	3	437.755962	120.01837
spot_0036	0	294.413525	46.816804
spot_0037	4	403.399082	287.658349
spot_0038	2	47.770279	42.29256
spot_0039	2	174.450106	142.925432
spot_0040	3	286.079037	464.794503
spot_0041	5	140.998362	404.173459
spot_0042	1	135.526983	5.347341
spot_0043	3	49.533076	474.198343
spot_0044	3	23.981643	338.516532
spot_0045	0	158.998195	466.220709
spot_0046	2	375.936457	68.214191
spot_0047	5	90.336242	248.902602
spot_0048	3	403.042498	342.560932
spot_0049	5	338.905942	338.387083
