x	y	value
163.840302	191.185463	1
26.629488	89.782866	3
397.80596	116.8952	5
436.425746	322.677426	3
425.751319	179.546468	1
484.192154	41.209256	3
442.917144	421.301695	3
104.618787	256.395495	4
40.703851	321.8272	0
235.333647	392.936648	2
331.751099	463.30296	1
32.43652	49.204555	4
254.306903	35.674339	1
375.654019	19.140693	2
322.535782	100.153298	5
254.579259	98.323161	0
249.293888	164.620646	3
232.133639	151.357791	5
160.911566	407.78239	2
186.939361	341.769665	2
347.254837	137.232278	1
357.824936	352.821319	3
247.396013	498.997853	3
134.167729	499.202549	5
200.473035	376.191678	3
460.592612	369.910503	5
291.991311	456.191265	4
18.302244	4.266939	2
109.763141	149.737076	2
101.500248	411.154428	4
431.584132	391.564127	0
197.949988	201.905571	4
152.999518	202.879242	0
444.354465	289.97689	1
285.685193	327.654254	1
467.749453	236.001997	2
187.053678	256.323487	4
275.275987	380.580269	5
67.165158	74.640572	4
42.014075	198.752643	4
222.252658	113.463151	4
175.787476	374.568538	3
291.981112	237.219126	3
232.626556	257.912675	1
310.56291	392.987324	3
213.051172	378.81065	0
233.775494	361.255176	4
204.476388	230.700569	3
402.252233	395.957444	1
158.510213	156.537417	3
