peptide	length	score
PEPTIDE000	11	17.031965
PEPTIDE001	9	28.401354
PEPTIDE002	12	78.918849
PEPTIDE003	14	61.796478
PEPTIDE004	13	5.308525
PEPTIDE005	9	65.475787
PEPTIDE006	9	0.833418
PEPTIDE007	14	38.864515
PEPTIDE008	14	27.131038
PEPTIDE009	13	85.208294
PEPTIDE010	13	66.010037
PEPTIDE011	11	86.428227
PEPTIDE012	13	1.907832
PEPTIDE013	13	86.741044
PEPTIDE014	8	64.941114
PEPTIDE015	12	23.116862
PEPTIDE016	10	38.07012
PEPTIDE017	13	97.661194
PEPTIDE018	15	9.960371
PEPTIDE019	10	31.545597
PEPTIDE020	15	86.677275
PEPTIDE021	8	53.156065
PEPTIDE022	11	18.641739
PEPTIDE023	11	50.065082
PEPTIDE024	13	45.798626
PEPTIDE025	10	92.634997
PEPTIDE026	9	2.148846
PEPTIDE027	9	24.739214
PEPTIDE028	8	52.941536
PEPTIDE029	11	33.356963
PEPTIDE030	10	39.339982
PEPTIDE031	12	15.700525
PEPTIDE032	8	34.67799
PEPTIDE033	13	35.191308
PEPTIDE034	9	62.523097
PEPTIDE035	12	23.620477
PEPTIDE036	15	97.824427
PEPTIDE037	15	50.125146
PEPTIDE038	8	81.189286
PEPTIDE039	13	62.579236
PEPTIDE040	11	87.867727
PEPTIDE041	11	89.040209
PEPTIDE042	11	81.485864
PEPTIDE043	12	2.94659
PEPTIDE044	15	55.493935
PEPTIDE045	10	28.019384
PEPTIDE046	8	15.170818
PEPTIDE047	14	89.717531
PEPTIDE048	8	65.693176
PEPTIDE049	12	8.779502
