gene	te	pvalue	adj_pvalue	ribo_fc	rna_fc
GENE000	0.687	4.8e-07	0.0001334	-3.3385	0.7855
GENE001	-3.0929	0.64729015	5.139e-05	0.1474	0.7657
GENE002	-1.4827	1e-07	0.0	-0.742	-1.5184
GENE003	-2.7974	6.47e-06	4.42e-05	0.6538	-0.5626
GENE004	-1.4972	0.00680639	1e-08	2.076	-2.4991
GENE005	-0.186	0.0	5.14e-06	0.8315	1.1386
GENE006	-1.2418	6.875e-05	0.07567569	-1.9201	1.6885
GENE007	2.3331	0.0	0.0	1.2686	-0.4629
GENE008	0.8368	0.07130237	0.18543851	-1.2198	-0.7581
GENE009	-1.6988	0.06333829	1e-08	0.8013	-1.6678
GENE010	2.575	1e-08	0.0	1.1956	-0.2384
GENE011	1.8215	0.01286288	0.00615028	-1.0387	3.3347
GENE012	0.3913	6.9e-06	3e-08	2.9203	-1.4369
GENE013	-0.7286	0.0	0.00096742	-0.6822	0.4399
GENE014	3.8735	2.8e-07	0.06134691	0.0589	1.8182
GENE015	1.5957	0.0414212	2.5e-06	2.5434	-0.1947
GENE016	-2.15	1.36e-06	0.00973908	0.3741	-2.6198
GENE017	0.3232	4.713e-05	0.00010183	-1.6632	0.6762
GENE018	-1.6656	3.991e-05	9.5e-07	-0.6977	3.0535
GENE019	1.7895	0.08181711	0.0	0.463	0.3056
GENE020	-2.0571	0.00543699	0.03416221	-0.887	-0.0776
GENE021	-1.2738	5.07e-06	0.0	-1.0164	-0.1019
GENE022	-1.2352	0.00134379	2.12e-06	1.8943	-4.2587
GENE023	0.9608	9.92e-05	1.28e-06	-0.3872	0.6326
GENE024	-2.0988	0.00349395	0.03239808	3.4761	-0.9639
GENE025	0.0155	9.93e-06	1.4e-07	-0.3218	-1.8262
GENE026	-4.3013	3.66e-06	4e-08	-2.0418	2.4667
GENE027	1.7005	2.85e-06	0.0	-0.4907	-1.9067
GENE028	-5.3714	2.79e-06	0.0	1.8623	0.1945
GENE029	0.3535	0.03774166	0.0	-1.1575	-2.4783
GENE030	0.4995	1.7e-07	0.0	2.2357	0.6723
GENE031	-0.9988	0.008282	3e-08	0.0141	-2.8153
GENE032	2.1988	0.00037894	0.0	0.7905	0.4432
GENE033	2.2583	1.14e-06	1.1e-07	-1.4514	0.2347
GENE034	2.1466	2e-08	1.08e-06	0.0649	1.472
GENE035	2.2683	8.2e-07	0.0	-0.0115	-2.5965
GENE036	0.6548	2.269e-05	0.00012115	2.0972	-0.8759
GENE037	-0.7592	0.30548295	1.7e-07	-0.931	-1.648
GENE038	0.5268	0.06477797	0.0	-3.1248	1.4409
GENE039	2.2028	0.00192991	0.0	-2.207	-3.4614
GENE040	-0.1057	0.00024807	7.3e-07	-1.3579	-0.7838
GENE041	-4.8019	0.03740592	1.5e-07	1.2727	0.9725
GENE042	-3.3568	0.00100315	1.22e-06	-1.7892	0.3482
GENE043	3.6048	4.6e-05	1.6e-07	-1.959	-3.0711
GENE044	-1.6463	0.0076203	5.2e-07	-0.609	2.2261
GENE045	-1.2216	0.00100751	0.01565452	-0.0396	0.118
GENE046	1.889	3.584e-05	0.0	-0.1748	1.9972
GENE047	1.7934	0.0	1e-08	-2.5678	-0.8457
GENE048	1.1171	3.448e-05	0.00279334	-0.6276	0.0712
GENE049	0.2889	1e-08	6.334e-05	1.9054	0.3934
