time	forecast	lower	upper	actual
0	11.880254	5.866303	144.474048	18.067248
1	39.66448	43.100172	117.652567	80.6085
2	30.268961	34.760794	144.019933	67.781188
3	59.615548	0.2662	64.324395	78.87474
4	17.2487	22.361644	70.37629	55.16717
5	74.520023	15.714804	112.95682	88.202114
6	77.584981	1.957158	76.939969	40.265126
7	99.116396	28.754051	113.311984	59.231012
8	67.073589	32.632025	114.557123	25.906103
9	8.961115	4.391046	121.444497	68.665835
10	46.367378	12.838024	106.364216	71.322266
11	81.819515	37.653437	114.777111	65.756293
12	38.210092	4.230516	101.142744	14.267014
13	63.233351	6.235856	66.404307	56.756078
14	44.511828	14.928896	132.15678	26.73699
15	1.160242	48.313808	81.636034	91.844164
16	11.662763	8.58016	128.778407	63.919349
17	12.205156	48.855155	87.89419	37.01507
18	64.140933	32.907968	146.40177	77.752816
19	90.847845	12.416854	74.749769	67.821523
20	22.493504	2.308313	77.012523	41.824375
21	58.685049	47.28973	103.147017	45.778659
22	98.734934	45.230976	118.397925	43.896001
23	47.949837	14.669841	90.678126	35.400142
24	69.372585	26.70512	82.935751	46.866582
25	9.455324	6.992752	58.897416	28.681966
26	59.287901	24.522141	140.924539	95.261632
27	38.395988	15.646802	127.807095	52.059466
28	99.995419	45.539158	64.632963	71.846681
29	70.273698	49.839858	129.809737	92.381196
30	29.836335	30.308607	77.364679	22.87641
31	12.523644	25.529517	59.794686	63.563525
32	32.522897	34.396515	147.948521	8.694228
33	71.376815	33.13085	72.222557	30.56615
34	86.221049	2.236778	145.178286	77.05784
35	53.751107	1.836697	128.273362	84.524561
36	40.533052	7.083367	62.350349	63.467668
37	70.074191	42.804259	102.647567	7.669321
38	39.379654	10.760647	137.551192	24.003674
39	81.746284	6.7104	108.882705	9.363361
40	78.347456	27.603531	130.679816	57.53167
41	53.008766	29.589157	59.554056	8.458512
42	6.393166	13.869786	84.890021	28.585086
43	83.714394	36.45522	107.215807	92.958901
44	53.898179	21.100751	78.199672	80.834692
45	81.882761	27.492431	77.105397	1.069468
46	65.170066	13.033722	59.906615	94.839669
47	75.350822	32.488447	54.796329	67.703306
48	20.746377	8.165969	81.799639	93.244142
49	65.858238	22.803387	125.187291	13.642838
