locus	pp.h0	pp.h1	pp.h2	pp.h3	pp.h4
locus_0	0.065184	0.119577	0.061916	0.168886	0.642464
locus_1	0.032153	0.157845	0.075336	0.020228	0.874268
locus_2	0.047563	0.129461	0.158332	0.154175	0.724464
locus_3	0.015086	0.013182	0.162637	0.167024	0.767006
locus_4	0.006187	0.018901	0.134023	0.176736	0.654734
locus_5	0.01035	0.135676	0.165792	0.007549	0.904312
locus_6	0.089913	0.056829	0.147755	0.067353	0.734508
locus_7	0.034344	0.144747	0.137083	0.153262	0.917557
locus_8	0.071432	0.131313	0.105279	0.02621	0.68392
locus_9	0.050455	0.181269	0.129205	0.075344	0.973565
locus_10	0.017256	0.174656	0.084681	0.032449	0.99222
locus_11	0.024774	0.066672	0.072366	0.166269	0.73084
locus_12	0.043776	0.116548	0.07252	0.15422	0.640886
locus_13	0.043942	0.028286	0.036053	0.161809	0.690936
locus_14	0.052275	0.069964	0.042839	0.033108	0.76373
locus_15	0.015875	0.193539	0.189534	0.087535	0.983134
locus_16	0.037285	0.139696	0.097254	0.082172	0.908446
locus_17	0.028289	0.078392	0.045309	0.135273	0.90063
locus_18	0.040877	0.119008	0.027513	0.047506	0.569199
locus_19	0.033837	0.1876	0.015433	0.08884	0.625002
