group	diversity
cohort_A	1.493062
cohort_A	3.951701
cohort_A	1.731739
cohort_A	1.52336
cohort_A	1.480407
cohort_A	2.679547
cohort_A	3.875388
cohort_A	1.695567
cohort_A	2.215142
cohort_A	1.553355
cohort_A	2.921437
cohort_A	2.296403
cohort_A	1.087577
cohort_A	2.842321
cohort_A	1.591973
cohort_B	2.776609
cohort_B	2.166507
cohort_B	3.114207
cohort_B	1.617353
cohort_B	3.256976
cohort_B	3.426189
cohort_B	1.187691
cohort_B	1.305256
cohort_B	3.615938
cohort_B	1.56088
cohort_B	1.977955
cohort_B	2.372651
cohort_B	1.78706
cohort_B	3.58791
cohort_B	2.583145
