chr	start	end	methylation_pct	coverage	sample_id	condition
chr22	16000000	16000002	67.8	40	E003_brain	fetal_brain
chr22	16002000	16002002	67.4	36	E003_brain	fetal_brain
chr22	16004000	16004002	74.1	74	E003_brain	fetal_brain
chr22	16006000	16006002	94.2	16	E003_brain	fetal_brain
chr22	16008000	16008002	66.8	16	E003_brain	fetal_brain
chr22	16010000	16010002	67.9	32	E003_brain	fetal_brain
chr22	16012000	16012002	72.2	76	E003_brain	fetal_brain
chr22	16014000	16014002	90.2	30	E003_brain	fetal_brain
chr22	16016000	16016002	65.1	58	E003_brain	fetal_brain
chr22	16018000	16018002	47.2	33	E003_brain	fetal_brain
chr22	16020000	16020002	58.5	5	E003_brain	fetal_brain
chr22	16022000	16022002	73.8	25	E003_brain	fetal_brain
chr22	16024000	16024002	65.6	24	E003_brain	fetal_brain
chr22	16026000	16026002	57.0	32	E003_brain	fetal_brain
chr22	16028000	16028002	83.1	16	E003_brain	fetal_brain
chr22	16030000	16030002	66.4	53	E003_brain	fetal_brain
chr22	16032000	16032002	93.9	38	E003_brain	fetal_brain
chr22	16034000	16034002	86.6	10	E003_brain	fetal_brain
chr22	16036000	16036002	67.6	53	E003_brain	fetal_brain
chr22	16038000	16038002	51.6	15	E003_brain	fetal_brain
chr22	16040000	16040002	43.3	51	E003_brain	fetal_brain
chr22	16042000	16042002	60.9	78	E003_brain	fetal_brain
chr22	16044000	16044002	72.0	34	E003_brain	fetal_brain
chr22	16046000	16046002	75.3	42	E003_brain	fetal_brain
chr22	16048000	16048002	99.4	17	E003_brain	fetal_brain
chr22	16050000	16050002	67.3	53	E003_brain	fetal_brain
chr22	16052000	16052002	66.3	51	E003_brain	fetal_brain
chr22	16054000	16054002	91.0	25	E003_brain	fetal_brain
chr22	16056000	16056002	63.0	39	E003_brain	fetal_brain
chr22	16058000	16058002	77.5	14	E003_brain	fetal_brain
chr22	16060000	16060002	62.9	36	E003_brain	fetal_brain
chr22	16062000	16062002	64.2	25	E003_brain	fetal_brain
chr22	16064000	16064002	58.4	76	E003_brain	fetal_brain
chr22	16066000	16066002	72.8	33	E003_brain	fetal_brain
chr22	16068000	16068002	58.5	12	E003_brain	fetal_brain
chr22	16070000	16070002	43.5	34	E003_brain	fetal_brain
chr22	16072000	16072002	81.8	56	E003_brain	fetal_brain
chr22	16074000	16074002	45.6	39	E003_brain	fetal_brain
chr22	16076000	16076002	100	77	E003_brain	fetal_brain
chr22	16078000	16078002	83.4	45	E003_brain	fetal_brain
chr22	16080000	16080002	74.1	63	E003_brain	fetal_brain
chr22	16082000	16082002	87.2	23	E003_brain	fetal_brain
chr22	16084000	16084002	68.9	76	E003_brain	fetal_brain
chr22	16086000	16086002	81.2	73	E003_brain	fetal_brain
chr22	16088000	16088002	68.4	79	E003_brain	fetal_brain
chr22	16090000	16090002	89.8	56	E003_brain	fetal_brain
chr22	16092000	16092002	36.6	22	E003_brain	fetal_brain
chr22	16094000	16094002	100	70	E003_brain	fetal_brain
chr22	16096000	16096002	44.8	19	E003_brain	fetal_brain
chr22	16098000	16098002	71.0	24	E003_brain	fetal_brain
chr22	16100000	16100002	51.5	59	E003_brain	fetal_brain
chr22	16102000	16102002	50.9	13	E003_brain	fetal_brain
chr22	16104000	16104002	54.9	64	E003_brain	fetal_brain
chr22	16106000	16106002	83.4	72	E003_brain	fetal_brain
chr22	16108000	16108002	69.8	6	E003_brain	fetal_brain
chr22	16110000	16110002	89.0	19	E003_brain	fetal_brain
chr22	16112000	16112002	62.3	39	E003_brain	fetal_brain
chr22	16114000	16114002	53.1	48	E003_brain	fetal_brain
chr22	16116000	16116002	82.2	63	E003_brain	fetal_brain
chr22	16118000	16118002	80.3	5	E003_brain	fetal_brain
chr22	16120000	16120002	99.4	38	E003_brain	fetal_brain
chr22	16122000	16122002	61.2	69	E003_brain	fetal_brain
chr22	16124000	16124002	71.3	18	E003_brain	fetal_brain
chr22	16126000	16126002	52.2	43	E003_brain	fetal_brain
chr22	16128000	16128002	79.7	30	E003_brain	fetal_brain
chr22	16130000	16130002	55.0	24	E003_brain	fetal_brain
chr22	16132000	16132002	63.7	72	E003_brain	fetal_brain
chr22	16134000	16134002	76.3	5	E003_brain	fetal_brain
chr22	16136000	16136002	55.9	19	E003_brain	fetal_brain
chr22	16138000	16138002	59.9	51	E003_brain	fetal_brain
chr22	16140000	16140002	90.5	44	E003_brain	fetal_brain
chr22	16142000	16142002	50.5	35	E003_brain	fetal_brain
chr22	16144000	16144002	98.8	15	E003_brain	fetal_brain
chr22	16146000	16146002	81.0	15	E003_brain	fetal_brain
chr22	16148000	16148002	66.9	73	E003_brain	fetal_brain
chr22	16150000	16150002	42.6	21	E003_brain	fetal_brain
chr22	16152000	16152002	81.8	75	E003_brain	fetal_brain
chr22	16154000	16154002	82.3	26	E003_brain	fetal_brain
chr22	16156000	16156002	67.1	59	E003_brain	fetal_brain
chr22	16158000	16158002	100	32	E003_brain	fetal_brain
chr22	16160000	16160002	92.7	30	E003_brain	fetal_brain
chr22	16162000	16162002	59.1	44	E003_brain	fetal_brain
chr22	16164000	16164002	52.0	52	E003_brain	fetal_brain
chr22	16166000	16166002	83.3	61	E003_brain	fetal_brain
chr22	16168000	16168002	83.3	36	E003_brain	fetal_brain
chr22	16170000	16170002	60.3	33	E003_brain	fetal_brain
chr22	16172000	16172002	72.8	75	E003_brain	fetal_brain
chr22	16174000	16174002	71.2	34	E003_brain	fetal_brain
chr22	16176000	16176002	68.5	12	E003_brain	fetal_brain
chr22	16178000	16178002	69.0	34	E003_brain	fetal_brain
chr22	16180000	16180002	73.5	47	E003_brain	fetal_brain
chr22	16182000	16182002	71.6	14	E003_brain	fetal_brain
chr22	16184000	16184002	57.9	67	E003_brain	fetal_brain
chr22	16186000	16186002	68.9	32	E003_brain	fetal_brain
chr22	16188000	16188002	46.7	78	E003_brain	fetal_brain
chr22	16190000	16190002	64.1	78	E003_brain	fetal_brain
chr22	16192000	16192002	44.1	57	E003_brain	fetal_brain
chr22	16194000	16194002	74.5	29	E003_brain	fetal_brain
chr22	16196000	16196002	88.3	50	E003_brain	fetal_brain
chr22	16198000	16198002	82.3	59	E003_brain	fetal_brain
chr22	16200000	16200002	44.6	11	E003_brain	fetal_brain
chr22	16202000	16202002	85.9	17	E003_brain	fetal_brain
chr22	16204000	16204002	92.5	18	E003_brain	fetal_brain
chr22	16206000	16206002	79.0	36	E003_brain	fetal_brain
chr22	16208000	16208002	76.7	22	E003_brain	fetal_brain
chr22	16210000	16210002	87.4	59	E003_brain	fetal_brain
chr22	16212000	16212002	76.8	14	E003_brain	fetal_brain
chr22	16214000	16214002	85.3	61	E003_brain	fetal_brain
chr22	16216000	16216002	80.5	17	E003_brain	fetal_brain
chr22	16218000	16218002	42.4	11	E003_brain	fetal_brain
chr22	16220000	16220002	59.2	6	E003_brain	fetal_brain
chr22	16222000	16222002	54.7	16	E003_brain	fetal_brain
chr22	16224000	16224002	96.1	26	E003_brain	fetal_brain
chr22	16226000	16226002	57.0	57	E003_brain	fetal_brain
chr22	16228000	16228002	59.6	56	E003_brain	fetal_brain
chr22	16230000	16230002	70.9	12	E003_brain	fetal_brain
chr22	16232000	16232002	70.5	54	E003_brain	fetal_brain
chr22	16234000	16234002	70.8	38	E003_brain	fetal_brain
chr22	16236000	16236002	93.6	41	E003_brain	fetal_brain
chr22	16238000	16238002	58.3	59	E003_brain	fetal_brain
chr22	16240000	16240002	62.0	76	E003_brain	fetal_brain
chr22	16242000	16242002	47.1	67	E003_brain	fetal_brain
chr22	16244000	16244002	77.1	12	E003_brain	fetal_brain
chr22	16246000	16246002	80.4	79	E003_brain	fetal_brain
chr22	16248000	16248002	69.5	45	E003_brain	fetal_brain
chr22	16250000	16250002	64.7	12	E003_brain	fetal_brain
chr22	16252000	16252002	86.2	72	E003_brain	fetal_brain
chr22	16254000	16254002	75.3	25	E003_brain	fetal_brain
chr22	16256000	16256002	86.7	28	E003_brain	fetal_brain
chr22	16258000	16258002	76.2	13	E003_brain	fetal_brain
chr22	16260000	16260002	51.4	35	E003_brain	fetal_brain
chr22	16262000	16262002	57.4	56	E003_brain	fetal_brain
chr22	16264000	16264002	93.0	36	E003_brain	fetal_brain
chr22	16266000	16266002	91.6	79	E003_brain	fetal_brain
chr22	16268000	16268002	52.7	58	E003_brain	fetal_brain
chr22	16270000	16270002	58.3	79	E003_brain	fetal_brain
chr22	16272000	16272002	58.0	38	E003_brain	fetal_brain
chr22	16274000	16274002	64.8	31	E003_brain	fetal_brain
